raw_team_name,raw_grade_name,clean_team_name,clean_grade_name,canonical_team_label,canonical_grade_label,team_grade_display,season
"NMCA - Les Kemp Shield - ""E"" Grade","NMCA - Les Kemp Shield - ""E"" Grade",NMCA - Les Kemp Shield - E Grade,Les Kemp Shield - E Grade,,Les Kemp Shield - E Grade,Les Kemp Shield - E Grade,Summer 2001/02
Fiji Vics,"NMCA - Les Horne Shield - ""C"" Grade",Fiji Vics,Les Horne Shield - C Grade,,Les Horne Shield - C Grade,Les Horne Shield - C Grade,Summer 2002/03
"NMCA - Les Horne Shield - ""C"" Grade","NMCA - Les Horne Shield - ""C"" Grade",NMCA - Les Horne Shield - C Grade,Les Horne Shield - C Grade,,Les Horne Shield - C Grade,Les Horne Shield - C Grade,Summer 2003/04
"NMCA - John Adams Shield - ""B"" Grade","NMCA - John Adams Shield - ""B"" Grade",NMCA - John Adams Shield - B Grade,John Adams Shield - B Grade,,John Adams Shield - B Grade,John Adams Shield - B Grade,Summer 2004/05
"NMCA - Les Kemp Shield - ""E"" Grade","NMCA - Les Kemp Shield - ""E"" Grade",NMCA - Les Kemp Shield - E Grade,Les Kemp Shield - E Grade,,Les Kemp Shield - E Grade,Les Kemp Shield - E Grade,Summer 2004/05
"NMCA - ""F"" Grade North - Manion Shield","NMCA - ""F"" Grade North - Manion Shield",NMCA - F Grade North - Manion Shield,F Grade North - Manion Shield,,F Grade North - Manion Shield,F Grade North - Manion Shield,Summer 2005/06
"NMCA - Les Horne Shield - ""C"" Grade","NMCA - Les Horne Shield - ""C"" Grade",NMCA - Les Horne Shield - C Grade,Les Horne Shield - C Grade,,Les Horne Shield - C Grade,Les Horne Shield - C Grade,Summer 2005/06
Les Horne Memorial Shield,Les Horne Memorial Shield,Les Horne Memorial Shield,Les Horne Memorial Shield,,Les Horne Memorial Shield,Les Horne Memorial Shield,Summer 2006/07
"NMCA - ""F"" Grade North - Manion Shield","NMCA - ""F"" Grade North - Manion Shield",NMCA - F Grade North - Manion Shield,F Grade North - Manion Shield,,F Grade North - Manion Shield,F Grade North - Manion Shield,Summer 2006/07
"NMCA - Les Horne Shield - ""C"" Grade","NMCA - Les Horne Shield - ""C"" Grade",NMCA - Les Horne Shield - C Grade,Les Horne Shield - C Grade,,Les Horne Shield - C Grade,Les Horne Shield - C Grade,Summer 2006/07
"NMCA - Bob Herman Shield - ""D"" Grade","NMCA - Bob Herman Shield - ""D"" Grade",NMCA - Bob Herman Shield - D Grade,Bob Herman Shield - D Grade,,Bob Herman Shield - D Grade,Bob Herman Shield - D Grade,Summer 2007/08
NMCA - Jack Kelly Shield,NMCA - Jack Kelly Shield,NMCA - Jack Kelly Shield,Jack Kelly Shield,,Jack Kelly Shield,Jack Kelly Shield,Summer 2007/08
"NMCA - Bob Herman Shield - ""D"" Grade","NMCA - Bob Herman Shield - ""D"" Grade",NMCA - Bob Herman Shield - D Grade,Bob Herman Shield - D Grade,,Bob Herman Shield - D Grade,Bob Herman Shield - D Grade,Summer 2008/09
NMCA - Jack Kelly Shield,NMCA - Jack Kelly Shield,NMCA - Jack Kelly Shield,Jack Kelly Shield,,Jack Kelly Shield,Jack Kelly Shield,Summer 2008/09
"NMCA - ""F"" Grade South - Torrens Shield","NMCA - ""F"" Grade South - Torrens Shield",NMCA - F Grade South - Torrens Shield,F Grade South - Torrens Shield,,F Grade South - Torrens Shield,F Grade South - Torrens Shield,Summer 2009/10
"NMCA - Bob Herman Shield - ""D"" Grade","NMCA - Bob Herman Shield - ""D"" Grade",NMCA - Bob Herman Shield - D Grade,Bob Herman Shield - D Grade,,Bob Herman Shield - D Grade,Bob Herman Shield - D Grade,Summer 2009/10
NMCA - Jack Kelly Shield,NMCA - Jack Kelly Shield,NMCA - Jack Kelly Shield,Jack Kelly Shield,,Jack Kelly Shield,Jack Kelly Shield,Summer 2009/10
"NMCA - ""F"" Grade North - Manion Shield","NMCA - ""F"" Grade North - Manion Shield",NMCA - F Grade North - Manion Shield,F Grade North - Manion Shield,,F Grade North - Manion Shield,F Grade North - Manion Shield,Summer 2010/11
