season_id,season,team_id,grade_id,grade_name,player_key,canonical_player_id,canonical_player_name,display_player_name,dot_balls,legal_balls,latest_match_date,match_count,dot_ball_pct
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,13407682-fa4f-4124-b7b8-4a4c3671b6a4,3ffb5596-605f-4838-88ec-8ea276db7fd6,M Grade,raw_1521ba45_bd2b_4a6b_8001_aa7ef9ab09e7,raw_1521ba45_bd2b_4a6b_8001_aa7ef9ab09e7,Valmik Patel,Valmik Patel,5,17,2023-01-29T00:00:00.0000000+11:00,1,29.41176470588235
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,13407682-fa4f-4124-b7b8-4a4c3671b6a4,3ffb5596-605f-4838-88ec-8ea276db7fd6,M Grade,raw_1e6d7af7_02d3_4cec_84f0_7fdcea903ea7,raw_1e6d7af7_02d3_4cec_84f0_7fdcea903ea7,Ketan Khant,Ketan Khant,20,36,2023-02-26T00:00:00.0000000+11:00,2,55.55555555555556
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,13407682-fa4f-4124-b7b8-4a4c3671b6a4,3ffb5596-605f-4838-88ec-8ea276db7fd6,M Grade,raw_2ac4ee6e_bd06_43c7_af61_bcccedae1007,raw_2ac4ee6e_bd06_43c7_af61_bcccedae1007,Vamsee Gujjalapudi,Vamsee Gujjalapudi,22,30,2023-02-26T00:00:00.0000000+11:00,2,73.33333333333333
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,13407682-fa4f-4124-b7b8-4a4c3671b6a4,3ffb5596-605f-4838-88ec-8ea276db7fd6,M Grade,raw_342b0df7_f5d9_4dce_bb0d_591666c7e84c,raw_342b0df7_f5d9_4dce_bb0d_591666c7e84c,Arya Patel,Arya Patel,18,24,2023-02-26T00:00:00.0000000+11:00,1,75.0
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,13407682-fa4f-4124-b7b8-4a4c3671b6a4,3ffb5596-605f-4838-88ec-8ea276db7fd6,M Grade,raw_35894b48_3b91_4cf5_840a_646728d49529,raw_35894b48_3b91_4cf5_840a_646728d49529,Tarak Patel,Tarak Patel,60,84,2023-01-29T00:00:00.0000000+11:00,3,71.42857142857143
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,13407682-fa4f-4124-b7b8-4a4c3671b6a4,3ffb5596-605f-4838-88ec-8ea276db7fd6,M Grade,raw_42bbb316_0484_48c2_b3f2_8cce1910f7bc,raw_42bbb316_0484_48c2_b3f2_8cce1910f7bc,Sujith Nagalmullage,Sujith Nagalmullage,16,18,2023-02-26T00:00:00.0000000+11:00,1,88.88888888888889
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,13407682-fa4f-4124-b7b8-4a4c3671b6a4,3ffb5596-605f-4838-88ec-8ea276db7fd6,M Grade,raw_7820c070_6256_470b_a460_2bfbee7eb0a5,raw_7820c070_6256_470b_a460_2bfbee7eb0a5,Rakesh Thatipamula,Rakesh Thatipamula,100,140,2023-02-26T00:00:00.0000000+11:00,4,71.42857142857143
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,13407682-fa4f-4124-b7b8-4a4c3671b6a4,3ffb5596-605f-4838-88ec-8ea276db7fd6,M Grade,raw_783020cf_409e_4d98_9b14_200c3fcff343,raw_783020cf_409e_4d98_9b14_200c3fcff343,Aarav Mehta,Aarav Mehta,13,30,2022-11-20T00:00:00.0000000+11:00,1,43.333333333333336
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,13407682-fa4f-4124-b7b8-4a4c3671b6a4,3ffb5596-605f-4838-88ec-8ea276db7fd6,M Grade,raw_7f7f27a9_7ba4_4d75_bc1b_a21fc622a903,raw_7f7f27a9_7ba4_4d75_bc1b_a21fc622a903,Arpan Desai,Arpan Desai,20,30,2022-11-20T00:00:00.0000000+11:00,1,66.66666666666667
3e3a72f9-34fa-49f5-a42e-35d86629a3af,Summer 2022/23,13407682-fa4f-4124-b7b8-4a4c3671b6a4,3ffb5596-605f-4838-88ec-8ea276db7fd6,M Grade,raw_862f2852_f81c_4dae_be50_a7bc3136fecc,raw_862f2852_f81c_4dae_be50_a7bc3136fecc,Christopher Jones,Christopher Jones,63,90,2023-02-05T00:00:00.0000000+11:00,3,70.0
