canonical_player_name,raw_player_name,raw_player_id,notes
Adam Scott,Adam Scott,119115cb-ab94-4b5a-b10f-f1420f85f4f6,safe auto-merge georges-river-district-safe-0001: exact case-insensitive name match; no season overlap
Adam Scott,Adam Scott,a4c05fc0-3942-4e13-82a6-a76a2d21676e,safe auto-merge georges-river-district-safe-0001: exact case-insensitive name match; no season overlap
Aidan Wood,Aidan Wood,c7a78524-df42-45b2-bae7-6f8628544ef8,safe auto-merge georges-river-district-safe-0002: exact case-insensitive name match; no season overlap
Aidan Wood,Aidan Wood,fd2e049e-715b-424e-bb2e-ad643aee710f,safe auto-merge georges-river-district-safe-0002: exact case-insensitive name match; no season overlap
Alan Wright,Alan Wright,a3b74958-aa0e-48d8-b527-178b7cc3dfa1,safe auto-merge georges-river-district-safe-0003: exact case-insensitive name match; no season overlap
Alan Wright,Alan Wright,d9e4826a-016c-40a7-afe3-a9cffbd241d5,safe auto-merge georges-river-district-safe-0003: exact case-insensitive name match; no season overlap
Alexander Ristevski,Alexander Ristevski,0fdc6581-0f7d-4a53-b5d3-c06e91b851e1,safe auto-merge georges-river-district-safe-0005: exact case-insensitive name match; no season overlap
Alexander Ristevski,Alexander Ristevski,cec7663a-f059-4bad-9ed4-f83b432d4a49,safe auto-merge georges-river-district-safe-0005: exact case-insensitive name match; no season overlap
Andrew Gunaratnam,Andrew Gunaratnam,8f797024-6b78-479f-a9c0-615790d9a38b,safe auto-merge georges-river-district-safe-0007: exact case-insensitive name match; no season overlap
Andrew Gunaratnam,Andrew Gunaratnam,d2c09c94-afae-4ed8-accc-410685e06cd0,safe auto-merge georges-river-district-safe-0007: exact case-insensitive name match; no season overlap
Anthony Murphy,Anthony Murphy,0ce57f19-6515-433a-aedd-fc3b0a28a663,safe auto-merge georges-river-district-safe-0008: exact case-insensitive name match; no season overlap
Anthony Murphy,Anthony Murphy,6513b681-a053-4c3b-bd71-112d79be507e,safe auto-merge georges-river-district-safe-0008: exact case-insensitive name match; no season overlap
Ben Watkinson,Ben Watkinson,69b055bf-246f-4864-84f0-a58918300c36,safe auto-merge georges-river-district-safe-0010: exact case-insensitive name match; no season overlap
Ben Watkinson,Ben Watkinson,f8fedaf1-4f73-4244-acac-6d947ba37e63,safe auto-merge georges-river-district-safe-0010: exact case-insensitive name match; no season overlap
